"DPS","MarketCap","SD","CEORemun","X1.R2","Indep","Board","EPS","gEPS","Lev"
37.15,6491.29,2.62,3.3e+07,0.440906,0.4444444444,9,1.7,0.1486486486,0.0426982933
70.77,47139.22,1.55,55653000,0.916958,0.6153846154,13,5.54,0.6586826347,0.0010042307
18.6,5273.84,2.09,39842616,0.908736,0.6,15,5.49,0.2948113208,0.3112734931
26.6,24061.89,1.91,128956666,0.995988,0.3076923077,13,4.27,0.9587155963,0.0792645318
42.29,102749.27,1.5,97205442,0.816447,0.4666666667,15,18.75,0.0744985673,0.0010149912
0,963.99,2.01,7799250,0.58576,0.4545454545,11,6.53,0.0583468395,0.1031299977
10.4,7059.64,1.89,70724943,0.9998,0.4615384615,13,94.3,0.0301507538,0
0,39813.47,1.43,34772899,0.9998,0.4615384615,13,7.78,0,0.1690075568
0,3167.85,2.08,65682000,0.619268,0.3,10,9.61,-0.1183486239,0.0054351137
0,64562.6,2.39,69697922,0.992605,0.3846153846,13,32.41,-0.8565548376,0.4921954028
0,11137.16,2.95,36499000,0.999754,0.4,10,20.7,-0.0856890459,0.2120014552
70.16,93849.1,1.65,9704256,0.958392,0.6923076923,13,55,-0.4387182366,0.1468602013
0,22670,2.02,36340000,0.998357,0.4,10,25.97,0.4253567508,0.017579266
0,4863.55,2.45,27366415,0.731674,0.4545454545,11,2.91,-1.1844106464,0.0666661372
0,5757.61,2.33,1.2e+07,0.999944,0.5,16,8.25,0.0840998686,0.0939232177
0,3918.8,1.93,30198234,0.80007,0.5,10,76.7,0.2228954082,0
16.5,47651.13,1.39,253400000,0.956154,0.4615384615,13,15.66,-0.1231802912,4.31343116195209e-06
0,13612.93,2.16,3420000,0.998526,0.7,10,4.68,0,0.3057945719
18.04,4788.03,2.99,66417000,0.81474,0.4,15,36.95,0.7528462998,0.0763006304
0,26528.13,2.81,152003000,0.965365,0.4285714286,14,3.56,-0.3395176252,0.1631035816
39.7,48820.54,1.39,90101233,0.897633,0.4615384615,13,5.67,0.0698113208,0.0326132877
0,17501.35,2.51,23100000,0.994935,0.7777777778,9,7.12,0,0.0010808474
1.08,11492.69,2.37,35789798,0.998578,0.625,8,89.71,2.7070247934,0.7213327807
0.08,4799.94,2.58,104996000,0.645589,0.4444444444,9,26.3,0,0.0929989781
0,6881.7,1.53,32260000,0.856128,0.5,12,1.42,-0.0206896552,0.0432543535
64.51,13125.45,3.1,61160000,0.821049,0.4166666667,12,1.54,-0.1851851852,0.0074302538
0,2844.46,2.47,122669901,0.888123,0.4545454545,11,2.76,0.2321428571,0.02938175
0,4846.16,2.45,3020000,0.937503,0.7,10,0.03,-1.0857142857,0.0672402637
0,12613.91,3.14,9e+05,0.567525,0.4615384615,13,7.71,0.0012987013,0.0009742192
0,1958.02,2.21,1576015,0.767237,0.5714285714,14,27.43,0.1864186851,0.6836766338
18.2417346938776,3464.84,2.05,40570850,0.741158,0.3333333333,9,11.12,0.0651340996,0.167560566
0,14427.64,1.95,35100000,0.847321,0.4166666667,12,8.13,0.2188905547,0.7384673858
0,8328.83,2.32,62256000,0.975697,0.4166666667,12,12.13,0.5105853051,0.0397936136
15.68,10566.79,1.66,7709681,0.934385,0.6666666667,15,16.58,0.0317361543,0.3569580342
49.27,124565.33,1.43,69700000,0.973372,0.4615384615,13,48.16,0.1294559099,0.0009567022
10.05,3356.4,2.17,44888000,0.936446,0.5454545455,11,17.02,0.2028268551,0.2470207973
0,3992.28,3.44,76603682,0.94703,0.5454545455,11,0.32,-0.7264957265,0.2234585171
